epoch,step,train_loss,val_score
0,49,0.03263700008392334,
0,85,,0.7500726580619812
0,99,0.02848811261355877,
0,149,0.02429521270096302,
0,171,,0.8945978879928589
1,199,0.02191842347383499,
1,249,0.0187887791544199,
1,257,,0.9153456091880798
1,299,0.017367510125041008,
1,343,,0.9405680298805237
2,349,0.013589606620371342,
2,399,0.014311058446764946,
2,429,,0.9485153555870056
2,449,0.014655202627182007,
2,499,0.01357175037264824,
2,515,,0.9617576599121094
3,549,0.012089530937373638,
3,599,0.012965204194188118,
3,601,,0.9519851207733154
3,649,0.013605277054011822,
3,687,,0.9596132040023804
4,699,0.01017692405730486,
4,749,0.010038468986749649,
4,773,,0.9502893686294556
4,799,0.011484573595225811,
4,849,0.012016470544040203,
4,859,,0.953774094581604
5,899,0.008802548982203007,
5,945,,0.9544168710708618
5,949,0.011148529127240181,
5,999,0.009047841653227806,
5,1031,,0.9621820449829102
6,1049,0.006797701586037874,
6,1099,0.010084545239806175,
6,1117,,0.9590935111045837
6,1149,0.007870662957429886,
6,1199,0.008863484486937523,
6,1203,,0.9638223648071289
7,1249,0.006381282117217779,
7,1289,,0.9603117108345032
7,1299,0.007156791631132364,
7,1349,0.007567421533167362,
7,1375,,0.9639105200767517
8,1399,0.004233249928802252,
8,1449,0.005870134569704533,
8,1461,,0.962352454662323
8,1499,0.006033726502209902,
8,1547,,0.9592386484146118
9,1549,0.0056474655866622925,
9,1599,0.0032302378676831722,
9,1633,,0.9581575989723206
9,1649,0.0035216386895626783,
9,1699,0.003902358701452613,
9,1719,,0.9566495418548584
10,1749,0.004079733043909073,
10,1799,0.002766634104773402,
10,1805,,0.952674388885498
10,1849,0.002525954507291317,
10,1891,,0.9541970491409302
11,1899,0.0019252069760113955,
11,1949,0.002142590470612049,
11,1977,,0.9594359397888184
11,1999,0.0021849675104022026,
11,2049,0.0015637381002306938,
11,2063,,0.9533571004867554
12,2099,0.0019669029861688614,
12,2149,0.0013368794461712241,
12,2149,,0.9554853439331055
12,2199,0.0015769659075886011,
12,2235,,0.9531933069229126
13,2249,0.001251573907211423,
13,2299,0.0012976821744814515,
13,2321,,0.9534258246421814
13,2349,0.0011926888255402446,
13,2399,0.001109196455217898,
13,2407,,0.9512263536453247
14,2449,0.000930997368413955,
14,2493,,0.9515674710273743
14,2499,0.0008828029385767877,
14,2549,0.0009064859477803111,
14,2579,,0.9515939950942993
